Artist,Song,title
buddy holly,rave on,rave on
buddy rich,apples (aka gino) - live,apples (aka gino) - live
bullet for my valentine,scream aim fire,scream aim fire
bullets and octane,queen mirage,queen mirage
bullets and octane,bathroom floor,bathroom floor
bush,loneliness is a killer,loneliness is a killer
bush,bodies in motion,bodies in motion
busted,year 3000 - live version,year 3000 - live version
busted,air hostess,air hostess
butch walker,chrissie hynde,chrissie hynde
borns,electric love,electric love
borns,past lives,past lives
borns,10000 emerald pools,10000 emerald pools
c2c,happy,happy
chappo,come home,come home
chvrches,the mother we share,the mother we share
chvrches,never say die,never say die
chvrches,dead air,dead air
cruisr,go for it,go for it
cruisr,all over - peter thomas remix,all over
cruisr,go for it - shallou remix,go for it
cruisr,throw shade,throw shade
cruisr,all over,all over
cruisr,kidnap me,kidnap me
cady groves,this little girl,this little girl
caesars,jerk it out - original mix,jerk it out
caesars,jerk it out,jerk it out
cage the elephant,aint no rest for the wicked,aint no rest for the wicked
cage the elephant,take it or leave it,take it or leave it
cage the elephant,shake me down,shake me down
cage the elephant,come a little closer,come a little closer
cage the elephant,mess around,mess around
cage the elephant,the lonesome death of hattie carroll,the lonesome death of hattie carroll
cage9,hearts and stars,hearts and stars
caifanes,viento,viento
cake,short skirt / long jacket,short skirt / long jacket
calboy,envy me,envy me
calibre 50,aunque ahora estes con el,aunque ahora estes con el
calle 13,atrevete-te-te,atrevete-te-te
calum scott,dancing on my own,dancing on my own
calvin harris,lets go,lets go
calvin harris,i need your love (feat. ellie goulding),i need your love
calvin harris,sweet nothing,sweet nothing
calvin harris,under control,under control
calvin harris,outside,outside
calvin harris,blame,blame
calvin harris,thinking about you,thinking about you
calvin harris,this is what you came for,this is what you came for
calvin harris,lets go (feat. ne-yo),lets go (feat. ne-yo)
calvin harris,sweet nothing (feat. florence welch),sweet nothing
calvin harris,i need your love,i need your love
cam,my mistake,my mistake
camron,so bad (feat. nicki minaj yummy),so bad (feat. nicki minaj yummy)
camilo,tutu - remix,tutu - remix
cant stop wont stop,grand prize,grand prize
capital cities,farrah fawcett hair,farrah fawcett hair
capital cities,center stage,center stage
capital cities,chartreuse,chartreuse
capital cities,tell me how to live,tell me how to live
capital lights,outrage,outrage
capra,low day,low day
caravan palace,mighty (feat. jfth),mighty (feat. jfth)
caravan palace,dramophone (swing flappers edit) bonus track,dramophone (swing flappers edit) bonus track
caravan palace,beatophone,beatophone
caravan palace,dragons,dragons
caravan palace,jolie coquine,jolie coquine
caravan palace,rock it for me,rock it for me
caravan palace,lone digger,lone digger
cardi b,i like it,i like it
caribou,back home,back home
carlinhos brown mikael mutti,market forro,market forro
carly rae jepsen,i really like you,i really like you
carly rae jepsen,gimmie love,gimmie love
carly rae jepsen,favourite colour,favourite colour
carly rae jepsen,emotion,emotion
carly rae jepsen,this love isnt crazy,this love isnt crazy
carly rae jepsen,call me maybe,call me maybe
carly rae jepsen,cut to the feeling,cut to the feeling
carly rae jepsen,sweet talker,sweet talker
caro emerald,the other woman,the other woman
caro emerald,that man - album edit,that man
caro emerald,that man,that man
caro emerald,just one dance,just one dance
caro emerald,back it up,back it up
caro emerald,pack up the louie (caravan palace remix),pack up the louie
caro emerald,lipstick on his collar,lipstick on his collar
caro emerald,riviera life,riviera life
caro emerald,whatchugot - pisk remix,whatchugot - pisk remix
caro emerald,the lipstick on his collar,the lipstick on his collar
caro emerald,stuck,stuck
caro emerald,tangled up,tangled up
caro emerald,pack up the louie,pack up the louie
caro emerald,you dont love me,you dont love me
carolina liar,show me what im looking for,show me what im looking for
carolina liar,im not over,im not over
carrie underwood,good girl,good girl
cartel,faster ride,faster ride
cartel,the perfect mistake,the perfect mistake
cartel,the fortunate,the fortunate
cartel,honestly,honestly
cartel,wonderwall,wonderwall
cartel,say anything (else),say anything (else)
cartel de santa,a ti te da besitos,a ti te da besitos
cartel de santa,el raton y el queso,el raton y el queso
cartel de santa,los mensajes del whatsapp,los mensajes del whatsapp
cartel de santa,con el corazon,con el corazon
cartel de santa,dejate caer,dejate caer
cartel de santa,doctor marihuana,doctor marihuana
cartel de santa,si te vienen a contar,si te vienen a contar
cartel de santa,volar volar,volar volar
cartel de santa,dale fuego,dale fuego
cartel de santa,con el coco rapado,con el coco rapado
cartel de santa,escucha y aprende,escucha y aprende
cartel de santa,traficando rimas,traficando rimas
cartel de santa,es de ley,es de ley
cartel de santa,mobster paradise,mobster paradise
cascada,evacuate the dancefloor,evacuate the dancefloor
cascada,what hurts the most - yanous candlelight mix,what hurts the most - yanous candlelight mix
cascada,kids in america,kids in america
cascada,everytime we touch,everytime we touch
casey abrams,get out,get out
cash cash,dynamite,dynamite
cash cash,party in your bedroom,party in your bedroom
cash cash,take me home (feat. bebe rexha),take me home (feat. bebe rexha)
cash cash,millionaire (feat. nelly),millionaire (feat. nelly)
cash cash,surrender - acoustic,surrender - acoustic
cash cash,take me home (feat. bebe rexha) - acoustic,take me home (feat. bebe rexha)
cash cash,overtime,overtime
caspian,gone in bloom and bough,gone in bloom and bough
catch 22,keasbey nights,keasbey nights
cauterize,my everything,my everything
cauterize,promise me,promise me
cauterize,ill cry tomorrow,ill cry tomorrow
cauterize,still breathing,still breathing
cauterize,taste of tears,taste of tears
cavo,waiting for silence,waiting for silence
cayucas,cayucos,cayucos
cayucas,high school lover,high school lover
cazzette,beam me up - radio edit,beam me up - radio edit
cazzette,blue sky,blue sky
cazzette,beam me up (kill mode) (radio edit),beam me up (kill mode) (radio edit)
cazzette,blind heart - radio edit,blind heart - radio edit
cazzette,weapon,weapon
cazzette,blind heart - mix cut,blind heart - mix cut
ceelo green,fuck you,fuck you
ceelo green,fuck you,fuck you
chameleon circuit,blink,blink
chamillionaire,ridin dirty (feat. chamillionaire),ridin dirty (feat. chamillionaire)
chamillionaire,ridin,ridin
chance the rapper,zanies and fools,zanies and fools
chance the rapper,4 quarters in the black (skit),4 quarters in the black (skit)
chance the rapper,all night (feat. knox fortune),all night (feat. knox fortune)
chance the rapper,no problem (feat. lil wayne 2 chainz),no problem (feat. lil wayne 2 chainz)
chance the rapper,same drugs,same drugs
chance the rapper,smoke break (feat. future),smoke break (feat. future)
chance the rapper,angels (feat. saba),angels (feat. saba)
chance the rapper,do you remember,do you remember
chapeaumelon,my generation,my generation
chapeaumelon,ma generation (my generation),ma generation (my generation)
charli xcx,break the rules,break the rules
charli xcx,break the rules - phantogram remix,break the rules
charlie puth,marvin gaye (feat. meghan trainor),marvin gaye (feat. meghan trainor)
charlotte oc,strange,strange
chase coy,if the moon fell down (1st version),if the moon fell down
chase coy,if the moon fell down,if the moon fell down
cheap trick,hello there,hello there
cheap trick,surrender,surrender
cheap trick,gimme some truth,gimme some truth
cheap trick,i want you to want me - live at nippon budokan tokyo jpn - april 1978,i want you to want me - live
cheap trick,i want you to want me - live,i want you to want me - live
chelsea lankes,down for whatever,down for whatever
chequerboard,opening the gates,opening the gates
cher lloyd,want u back,want u back
cher lloyd,i wish,i wish
cherub,doses mimosas,doses mimosas
cheyenne marie mize,wishing well,wishing well
chicago,25 or 6 to 4 - remastered,25 or 6 to 4 - remastered
chicago,25 or 6 to 4 - 2002 remaster,25 or 6 to 4 - 2002 remaster
chicago,youre the inspiration,youre the inspiration
chico rose,sad (feat. afrojack) - buzz low remix,sad (feat. afrojack) - buzz low remix
chiddy bang,mind your manners (feat. icona pop),mind your manners (feat. icona pop)
chiddy bang,handclaps guitars,handclaps guitars
chiddy bang,ray charles,ray charles
chiddy bang,nothing on we,nothing on we
chiddy bang,happening,happening
chiddy bang,opposite of adults,opposite of adults
chiddy bang,mind your manners - feat. icona pop,mind your manners (feat. icona pop)
childish gambino,me and your mama,me and your mama
childish gambino,bonfire,bonfire
childish gambino,v. 3005,v. 3005
childish gambino,3005,3005
childish gambino,iv. sweatpants,iv. sweatpants
childish gambino,sober,sober
childish gambino,3005 - friction remix,3005 - friction remix
childish gambino,i. crawl,i. crawl
childish gambino,redbone,redbone
children of bodom,done with everything die for nothing,done with everything die for nothing
chinese man,ive got that tune,ive got that tune
chloe flower,old town road,old town road
chocolate,mayonesa,mayonesa
chorus - hercules,zero to hero,zero to hero
chris brown,look at me now,look at me now
chris wallace,remember when (push rewind),remember when (push rewind)
chris wallace,insecurities,insecurities
chris wallace,keep me crazy,keep me crazy
chris webby,do like me,do like me
christina aguilera,bound to you - burlesque original motion picture soundtrack,bound to you - burlesque original motion picture soundtrack
christina perri,jar of hearts,jar of hearts
chromatics,im on fire,im on fire
chronic future,time and time again,time and time again
chuck berry,johnny b. goode,johnny b. goode
chuck berry,no particular place to go - single version,no particular place to go
chuck berry,route 66 - kazuyori,route 66
chuck berry,roll over beethoven,roll over beethoven
chuck berry,route 66,route 66
chuck berry,you never can tell,you never can tell
chuck berry,roll over beethoven - single version,roll over beethoven
chuck berry,no particular place to go,no particular place to go
chumbawamba,tubthumping,tubthumping
chunk no captain chunk,in friends we trust,in friends we trust
ciara,one two step,one two step
cinderella,dont know what you got (till its gone),dont know what you got (till its gone)
circa survive,the difference between medicine and poison is in the dose,the difference between medicine and poison is in the dose
circa survive,act appalled,act appalled
city sleeps,ordinary high,ordinary high
city sleeps,be a man,be a man
city and colour,the girl,the girl
city and colour,of space and time,of space and time
civil twilight,come as you are,come as you are
claptone,the music got me,the music got me
claptone,puppet theatre,puppet theatre
claptone,she loves you,she loves you
class actress,let me take you out,let me take you out
classified,thats what i do,thats what i do
clean bandit,real love,real love
clean bandit,uk shanty,uk shanty
clean bandit,rather be (feat. jess glynne),rather be (feat. jess glynne)
clem leek,youre so very far away,youre so very far away
clem leek,bless those tired eyes,bless those tired eyes
